Potion Number,Ranking,Artist,Artist Rarity,Element,Element Rarity,Finish,Finish Rarity,Color,Color Rarity,Shape,Shape Rarity,Taste,Taste Rarity,Matter,Matter Rarity,Potency,Potency Rarity,Temperature,Temperature Rarity,Superpower,Superpower Rarity,tokenid,ipfsnew
962,1,Shantell Martin,0.33%,"Yesterday, Today, Tomorrow",0.03%,Sheen,0.33%,Black & White,1.33%,Spool,10.00%,Salty,30.00%,Liquid,50.00%,Severe,9.00%,Chilled,2.00%,Honesty,3.00%,164761611,https://ipfs.some.place/ipfs/QmP2BTN3XGkgnAqDfeX9u3RFX7YjzYXGZnqWiDDK1rZWnn
1125,1,Shantell Martin,0.33%,Face Your Fears,0.03%,Sheen,0.33%,Black & White,1.33%,Carrot,10.00%,Sweet,30.00%,Gas,2.00%,Moderate,50.00%,Toasty,22.00%,Charm,6.00%,164762004,https://ipfs.some.place/ipfs/QmTZZv7ur3HETXZ1WPBA9QBP25w3Vhjob1iRrMbxSmMJMx
2079,1,Shantell Martin,0.33%,Keep It Confidential,0.03%,Sheen,0.33%,Black & White,1.33%,Original,10.00%,Sour,21.00%,Condensate,10.00%,Mild,40.00%,Toasty,22.00%,Courage,3.00%,164765386,https://ipfs.some.place/ipfs/QmSAPcvhTR3pR1oaxdtwbaeczFykQMENqazSfTMoQmAqfc
2584,1,Shantell Martin,0.33%,You Are You,0.03%,Sheen,0.33%,Black & White,1.33%,Beacon,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Courage,3.00%,164767555,https://ipfs.some.place/ipfs/QmcaumnHQZv76vhb4JcbZNobMTAKYHgbJKJrw3GegKx7b9
1293,1,Shantell Martin,0.33%,Join The Club,0.03%,Sheen,0.33%,Black & White,1.33%,Edamame,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Gratitude,4.00%,164762547,https://ipfs.some.place/ipfs/Qmf2dUSKvmmDD9GH23jgw7QmScj1ekvcnm2T47T7TZRP9w
2484,1,Shantell Martin,0.33%,Who Are You,0.03%,Sheen,0.33%,Black & White,1.33%,Blimp,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Love,5.00%,164767013,https://ipfs.some.place/ipfs/QmYg2pfmMY4LYPYVXU3UUo5gtZ6xnkRzHcdtyuKAM93dtf
94,1,Shantell Martin,0.33%,Mixed Messages,0.03%,Sheen,0.33%,Black & White,1.33%,Drillbit,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Wisdom,5.00%,164752167,https://ipfs.some.place/ipfs/QmSMXrepPddqsoVFhZ8ZPGZZ4DbLxggbRwPM4BC4eEMwR9
1702,1,Shantell Martin,0.33%,Look Up,0.03%,Sheen,0.33%,Black & White,1.33%,Wormhole,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Artistry,5.00%,164763860,https://ipfs.some.place/ipfs/QmUFUVH8Po8UzY2V8dc2vwMtTgpDcBydrBPQYSPBRwaAx3
2193,1,Shantell Martin,0.33%,Safe Passage,0.03%,Sheen,0.33%,Black & White,1.33%,Classic,10.00%,Sweet,30.00%,Condensate,10.00%,Moderate,50.00%,Toasty,22.00%,Pride,15.00%,164765780,https://ipfs.some.place/ipfs/QmSynx6y5XopLJbLRTAQjPDVti6W2rEb1fL8pEHgbKoGPA
1379,1,Shantell Martin,0.33%,Etched In Time,0.03%,Sheen,0.33%,Black & White,1.33%,Hourglass,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Kindness,15.00%,164762823,https://ipfs.some.place/ipfs/Qmb6ZvxXn5ZdiBKTjBbUDdNurzX2dNESHq5et8QCM7K84w
1102,1,Amber Vittoria,0.33%,To Hold Your Wishes,0.17%,Matte,0.07%,Polychromatic,2.67%,Classic,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Loyalty,2.00%,164761979,https://ipfs.some.place/ipfs/QmNuiJpKbgA1gJA3v2VWAsfb6hTGkR3Eppz8ZfiqcpqAhH
2313,1,Amber Vittoria,0.33%,A Place For stour Dreams,0.17%,Matte,0.07%,Polychromatic,2.67%,Wormhole,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Courage,3.00%,164766143,https://ipfs.some.place/ipfs/QmWhaGGbMs4UCGxYYFDTtnzWF9dn7d45gH2NHXHjJfZgFc
1526,1,Amber Vittoria,0.33%,A Place For stour Dreams,0.17%,Strathmore mixed media,0.27%,Polychromatic,2.67%,Hourglass,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Humanity,2.00%,164763210,https://ipfs.some.place/ipfs/QmbZuy9anYdurb9YhfVdNKV2AdiE7VNBULnsxFprfU4jur
